%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"415","41166.2326388889","+0","0","","&B10000000","&B00000000"
"416","41166.2361111111","+0","0","","&B10000000","&B00000000"
"417","41166.2395833333","+0","0","","&B10000000","&B00000000"
"418","41166.2430555556","+0","0","","&B10000000","&B00000000"
"419","41166.2465277778","+0","0","","&B10000000","&B00000000"
"420","41166.25","+0","0","","&B10000000","&B00000000"
"421","41166.2534722222","+0","0","","&B10000000","&B00000000"
"422","41166.2569444444","+0","0","","&B10000000","&B00000000"
"423","41166.2604166667","+0","0","","&B10000000","&B00000000"
"424","41166.2638888889","+0","0","","&B10000000","&B00000000"
"425","41166.2673611111","+0","0","","&B10000000","&B00000000"
"426","41166.2708333333","+0","0","","&B10000000","&B00000000"
"427","41166.2743055556","+0","0","","&B10000000","&B00000000"
"428","41166.2777777778","+0","0","","&B10000000","&B00000000"
"429","41166.28125","+0","0","","&B10000000","&B00000000"
"430","41166.2847222222","+0","0","","&B10000000","&B00000000"
"431","41166.2881944444","+0","0","","&B10000000","&B00000000"
"432","41166.2916666667","+0","0","","&B10000000","&B00000000"
"433","41166.2951388889","+0","0","","&B10000000","&B00000000"
"434","41166.2986111111","+0","0","","&B10000000","&B00000000"
"435","41166.3020833333","+0","0","","&B10000000","&B00000000"
"436","41166.3055555556","+0","0","","&B10000000","&B00000000"
"437","41166.3090277778","+0","0","","&B10000000","&B00000000"
"438","41166.3125","+0","0","","&B10000000","&B00000000"
"439","41166.3159722222","+0","0","","&B10000000","&B00000000"
"440","41166.3194444444","+0","0","","&B10000000","&B00000000"
"441","41166.3229166667","+0","0","","&B10000000","&B00000000"
"442","41166.3263888889","+0","0","","&B10000000","&B00000000"
"443","41166.3298611111","+0","0","","&B10000000","&B00000000"
"444","41166.3333333333","+0","0","","&B10000000","&B00000000"
"445","41166.3368055556","+0","0","","&B10000000","&B00000000"
"446","41166.3402777778","+0","0","","&B10000000","&B00000000"
"447","41166.34375","+0","0","","&B10000000","&B00000000"
"448","41166.3472222222","+0","0","","&B10000000","&B00000000"
"449","41166.3506944444","+0","0","","&B10000000","&B00000000"
"450","41166.3541666667","+0","0","","&B10000000","&B00000000"
"451","41166.3576388889","+0","0","","&B10000000","&B00000000"
"452","41166.3611111111","+0","0","","&B10000000","&B00000000"
"453","41166.3645833333","+0","0","","&B10000000","&B00000000"
"454","41166.3680555556","+0","0","","&B10000000","&B00000000"
"455","41166.3715277778","+0","0","","&B10000000","&B00000000"
"456","41166.375","+0","0","","&B10000000","&B00000000"
"457","41166.3784722222","+0","0","","&B10000000","&B00000000"
"458","41166.3819444444","+0","0","","&B10000000","&B00000000"
"459","41166.3854166667","+0","0","","&B10000000","&B00000000"
"460","41166.3888888889","+0","0","","&B10000000","&B00000000"
"461","41166.3923611111","+0","0","","&B10000000","&B00000000"
"462","41166.3958333333","+0","0","","&B10000000","&B00000000"
"463","41166.3993055556","+0","0","","&B10000000","&B00000000"
"464","41166.4027777778","+0","0","","&B10000000","&B00000000"
"465","41166.40625","+0","0","","&B10000000","&B00000000"
"466","41166.4097222222","+0","0","","&B10000000","&B00000000"
"467","41166.4131944444","-0.005","0","","&B10000000","&B00000000"
"468","41166.4166666667","+0","0","","&B10000000","&B00000000"
"469","41166.4201388889","+0","0","","&B10000000","&B00000000"
"470","41166.4236111111","+0","0","","&B10000000","&B00000000"
"471","41166.4270833333","+0","0","","&B10000000","&B00000000"
"472","41166.4305555556","+0","0","","&B10000000","&B00000000"
"473","41166.4340277778","+0","0","","&B10000000","&B00000000"
"474","41166.4375","+0","0","","&B10000000","&B00000000"
"475","41166.4409722222","+0","0","","&B10000000","&B00000000"
"476","41166.4444444444","+0","0","","&B10000000","&B00000000"
"477","41166.4479166667","+0","0","","&B10000000","&B00000000"
"478","41166.4513888889","+0","0","","&B10000000","&B00000000"
"479","41166.4548611111","+0","0","","&B10000000","&B00000000"
"480","41166.4583333333","+0","0","","&B10000000","&B00000000"
"481","41166.4618055556","+0","0","","&B10000000","&B00000000"
"482","41166.4652777778","+0","0","","&B10000000","&B00000000"
"483","41166.46875","+0","0","","&B10000000","&B00000000"
"484","41166.4722222222","+0","0","","&B10000000","&B00000000"
"485","41166.4756944444","+0","0","","&B10000000","&B00000000"
"486","41166.4791666667","+0","0","","&B10000000","&B00000000"
"487","41166.4826388889","+0","0","","&B10000000","&B00000000"
"488","41166.4861111111","+0","0","","&B10000000","&B00000000"
"489","41166.4895833333","+0","0","","&B10000000","&B00000000"
"490","41166.4930555556","+0","0","","&B10000000","&B00000000"
"491","41166.4965277778","+0","0","","&B10000000","&B00000000"
"492","41166.5","+0","0","","&B10000000","&B00000000"
"493","41166.5034722222","+0","0","","&B10000000","&B00000000"
"494","41166.5069444444","+0","0","","&B10000000","&B00000000"
"495","41166.5104166667","+0","0","","&B10000000","&B00000000"
"496","41166.5138888889","+0","0","","&B10000000","&B00000000"
"497","41166.5173611111","+0","0","","&B10000000","&B00000000"
"498","41166.5208333333","+0","0","","&B10000000","&B00000000"
"499","41166.5243055556","+0","0","","&B10000000","&B00000000"
"500","41166.5277777778","+0","0","","&B10000000","&B00000000"
"501","41166.53125","+0","0","","&B10000000","&B00000000"
"502","41166.5347222222","+0","0","","&B10000000","&B00000000"
"503","41166.5381944444","+0","0","","&B10000000","&B00000000"
"504","41166.5416666667","+0","0","","&B10000000","&B00000000"
"505","41166.5451388889","+0","0","","&B10000000","&B00000000"
"506","41166.5486111111","+0","0","","&B10000000","&B00000000"
"507","41166.5520833333","+0","0","","&B10000000","&B00000000"
"508","41166.5555555556","+0","0","","&B10000000","&B00000000"
"509","41166.5590277778","+0","0","","&B10000000","&B00000000"
"510","41166.5625","+0","0","","&B10000000","&B00000000"
"511","41166.5659722222","+0","0","","&B10000000","&B00000000"
"512","41166.5694444444","+0","0","","&B10000000","&B00000000"
"513","41166.5729166667","+0","0","","&B10000000","&B00000000"
"514","41166.5763888889","+0","0","","&B10000000","&B00000000"
"515","41166.5798611111","+0","0","","&B10000000","&B00000000"
"516","41166.5833333333","+0","0","","&B10000000","&B00000000"
"517","41166.5868055556","+0","0","","&B10000000","&B00000000"
"518","41166.5902777778","+0","0","","&B10000000","&B00000000"
"519","41166.59375","+0","0","","&B10000000","&B00000000"
"520","41166.5972222222","+0","0","","&B10000000","&B00000000"
"521","41166.6006944444","+0","0","","&B10000000","&B00000000"
"522","41166.6041666667","+0","0","","&B10000000","&B00000000"
"523","41166.6076388889","+0","0","","&B10000000","&B00000000"
"524","41166.6111111111","+0","0","","&B10000000","&B00000000"
"525","41166.6145833333","+0","0","","&B10000000","&B00000000"
"526","41166.6180555556","+0","0","","&B10000000","&B00000000"
"527","41166.6215277778","+0","0","","&B10000000","&B00000000"
"528","41166.625","+0","0","","&B10000000","&B00000000"
"529","41166.6284722222","+0","0","","&B10000000","&B00000000"
"530","41166.6319444444","+0","0","","&B10000000","&B00000000"
"531","41166.6354166667","+0","0","","&B10000000","&B00000000"
"532","41166.6388888889","+0","0","","&B10000000","&B00000000"
"533","41166.6423611111","-0.005","0","","&B10000000","&B00000000"
"534","41166.6458333333","+0","0","","&B10000000","&B00000000"
"535","41166.6493055556","+0","0","","&B10000000","&B00000000"
"536","41166.6527777778","+0","0","","&B10000000","&B00000000"
"537","41166.65625","+0","0","","&B10000000","&B00000000"
"538","41166.6597222222","+0","0","","&B10000000","&B00000000"
"539","41166.6631944444","+0","0","","&B10000000","&B00000000"
"540","41166.6666666667","+0","0","","&B10000000","&B00000000"
"541","41166.6701388889","+0","0","","&B10000000","&B00000000"
"542","41166.6736111111","+0","0","","&B10000000","&B00000000"
"543","41166.6770833333","+0","0","","&B10000000","&B00000000"
"544","41166.6805555556","+0","0","","&B10000000","&B00000000"
"545","41166.6840277778","+0","0","","&B10000000","&B00000000"
"546","41166.6875","+0","0","","&B10000000","&B00000000"
"547","41166.6909722222","+0","0","","&B10000000","&B00000000"
"548","41166.6944444444","+0","0","","&B10000000","&B00000000"
"549","41166.6979166667","+0","0","","&B10000000","&B00000000"
"550","41166.7013888889","+0","0","","&B10000000","&B00000000"
"551","41166.7048611111","+0","0","","&B10000000","&B00000000"
"552","41166.7083333333","+0","0","","&B10000000","&B00000000"
"553","41166.7118055556","+0","0","","&B10000000","&B00000000"
"554","41166.7152777778","+0","0","","&B10000000","&B00000000"
"555","41166.71875","+0","0","","&B10000000","&B00000000"
"556","41166.7222222222","+0","0","","&B10000000","&B00000000"
"557","41166.7256944444","+0","0","","&B10000000","&B00000000"
"558","41166.7291666667","+0","0","","&B10000000","&B00000000"
"559","41166.7326388889","+0","0","","&B10000000","&B00000000"
"560","41166.7361111111","+0","0","","&B10000000","&B00000000"
"561","41166.7395833333","+0","0","","&B10000000","&B00000000"
"562","41166.7430555556","+0","0","","&B10000000","&B00000000"
"563","41166.7465277778","+0","0","","&B10000000","&B00000000"
"564","41166.75","+0","0","","&B10000000","&B00000000"
"565","41166.7534722222","+0","0","","&B10000000","&B00000000"
"566","41166.7569444444","+0","0","","&B10000000","&B00000000"
"567","41166.7604166667","+0","0","","&B10000000","&B00000000"
"568","41166.7638888889","+0","0","","&B10000000","&B00000000"
"569","41166.7673611111","+0","0","","&B10000000","&B00000000"
"570","41166.7708333333","+0","0","","&B10000000","&B00000000"
"571","41166.7743055556","+0","0","","&B10000000","&B00000000"
"572","41166.7777777778","+0","0","","&B10000000","&B00000000"
"573","41166.78125","+0","0","","&B10000000","&B00000000"
"574","41166.7847222222","+0","0","","&B10000000","&B00000000"
"575","41166.7881944444","+0","0","","&B10000000","&B00000000"
"576","41166.7916666667","+0","0","","&B10000000","&B00000000"
"577","41166.7951388889","+0","0","","&B10000000","&B00000000"
"578","41166.7986111111","-0.005","0","","&B10000000","&B00000000"
"579","41166.8020833333","+0","0","","&B10000000","&B00000000"
"580","41166.8055555556","+0","0","","&B10000000","&B00000000"
"581","41166.8090277778","+0","0","","&B10000000","&B00000000"
"582","41166.8125","+0","0","","&B10000000","&B00000000"
"583","41166.8159722222","+0","0","","&B10000000","&B00000000"
"584","41166.8194444444","+0","0","","&B10000000","&B00000000"
"585","41166.8229166667","+0","0","","&B10000000","&B00000000"
"586","41166.8263888889","+0","0","","&B10000000","&B00000000"
"587","41166.8298611111","+0","0","","&B10000000","&B00000000"
"588","41166.8333333333","+0","0","","&B10000000","&B00000000"
"589","41166.8368055556","+0","0","","&B10000000","&B00000000"
"590","41166.8402777778","+0","0","","&B10000000","&B00000000"
"591","41166.84375","+0","0","","&B10000000","&B00000000"
"592","41166.8472222222","+0","0","","&B10000000","&B00000000"
"593","41166.8506944444","+0","0","","&B10000000","&B00000000"
"594","41166.8541666667","+0","0","","&B10000000","&B00000000"
"595","41166.8576388889","+0","0","","&B10000000","&B00000000"
"596","41166.8611111111","-0.005","0","","&B10000000","&B00000000"
"597","41166.8645833333","+0","0","","&B10000000","&B00000000"
"598","41166.8680555556","+0","0","","&B10000000","&B00000000"
"599","41166.8715277778","+0","0","","&B10000000","&B00000000"
"600","41166.875","+0","0","","&B10000000","&B00000000"
"601","41166.8784722222","+0","0","","&B10000000","&B00000000"
"602","41166.8819444444","+0","0","","&B10000000","&B00000000"
"603","41166.8854166667","+0","0","","&B10000000","&B00000000"
"604","41166.8888888889","+0","0","","&B10000000","&B00000000"
"605","41166.8923611111","+0","0","","&B10000000","&B00000000"
"606","41166.8958333333","+0","0","","&B10000000","&B00000000"
"607","41166.8993055556","+0","0","","&B10000000","&B00000000"
"608","41166.9027777778","+0","0","","&B10000000","&B00000000"
"609","41166.90625","+0","0","","&B10000000","&B00000000"
"610","41166.9097222222","+0","0","","&B10000000","&B00000000"
"611","41166.9131944444","+0","0","","&B10000000","&B00000000"
"612","41166.9166666667","+0","0","","&B10000000","&B00000000"
"613","41166.9201388889","+0","0","","&B10000000","&B00000000"
"614","41166.9236111111","+0","0","","&B10000000","&B00000000"
"615","41166.9270833333","+0","0","","&B10000000","&B00000000"
"616","41166.9305555556","+0","0","","&B10000000","&B00000000"
"617","41166.9340277778","+0","0","","&B10000000","&B00000000"
"618","41166.9375","+0","0","","&B10000000","&B00000000"
"619","41166.9409722222","+0","0","","&B10000000","&B00000000"
"620","41166.9444444444","+0","0","","&B10000000","&B00000000"
"621","41166.9479166667","+0","0","","&B10000000","&B00000000"
"622","41166.9513888889","+0","0","","&B10000000","&B00000000"
"623","41166.9548611111","+0","0","","&B10000000","&B00000000"
"624","41166.9583333333","+0","0","","&B10000000","&B00000000"
"625","41166.9618055556","+0","0","","&B10000000","&B00000000"
"626","41166.9652777778","+0","0","","&B10000000","&B00000000"
"627","41166.96875","+0","0","","&B10000000","&B00000000"
"628","41166.9722222222","+0","0","","&B10000000","&B00000000"
"629","41166.9756944444","+0","0","","&B10000000","&B00000000"
"630","41166.9791666667","+0","0","","&B10000000","&B00000000"
"631","41166.9826388889","+0","0","","&B10000000","&B00000000"
"632","41166.9861111111","+0","0","","&B10000000","&B00000000"
"633","41166.9895833333","+0","0","","&B10000000","&B00000000"
"634","41166.9930555556","+0","0","","&B10000000","&B00000000"
"635","41166.9965277778","+0","0","","&B10000000","&B00000000"
"636","41167","-0.005","0","","&B10000000","&B00000000"
"637","41167.0034722222","+0","0","","&B10000000","&B00000000"
"638","41167.0069444444","+0","0","","&B10000000","&B00000000"
"639","41167.0104166667","+0","0","","&B10000000","&B00000000"
"640","41167.0138888889","+0","0","","&B10000000","&B00000000"
"641","41167.0173611111","+0","0","","&B10000000","&B00000000"
"642","41167.0208333333","+0","0","","&B10000000","&B00000000"
"643","41167.0243055556","+0","0","","&B10000000","&B00000000"
"644","41167.0277777778","+0","0","","&B10000000","&B00000000"
"645","41167.03125","+0","0","","&B10000000","&B00000000"
"646","41167.0347222222","+0","0","","&B10000000","&B00000000"
"647","41167.0381944444","+0","0","","&B10000000","&B00000000"
"648","41167.0416666667","+0","0","","&B10000000","&B00000000"
"649","41167.0451388889","+0","0","","&B10000000","&B00000000"
"650","41167.0486111111","+0","0","","&B10000000","&B00000000"
"651","41167.0520833333","+0","0","","&B10000000","&B00000000"
"652","41167.0555555556","+0","0","","&B10000000","&B00000000"
"653","41167.0590277778","+0","0","","&B10000000","&B00000000"
"654","41167.0625","+0","0","","&B10000000","&B00000000"
"655","41167.0659722222","+0","0","","&B10000000","&B00000000"
"656","41167.0694444444","+0","0","","&B10000000","&B00000000"
"657","41167.0729166667","+0","0","","&B10000000","&B00000000"
"658","41167.0763888889","+0","0","","&B10000000","&B00000000"
"659","41167.0798611111","+0","0","","&B10000000","&B00000000"
"660","41167.0833333333","+0","0","","&B10000000","&B00000000"
"661","41167.0868055556","+0","0","","&B10000000","&B00000000"
"662","41167.0902777778","+0","0","","&B10000000","&B00000000"
"663","41167.09375","+0","0","","&B10000000","&B00000000"
"664","41167.0972222222","+0","0","","&B10000000","&B00000000"
"665","41167.1006944444","+0","0","","&B10000000","&B00000000"
"666","41167.1041666667","+0","0","","&B10000000","&B00000000"
"667","41167.1076388889","+0","0","","&B10000000","&B00000000"
"668","41167.1111111111","+0","0","","&B10000000","&B00000000"
"669","41167.1145833333","+0","0","","&B10000000","&B00000000"
"670","41167.1180555556","+0","0","","&B10000000","&B00000000"
"671","41167.1215277778","+0","0","","&B10000000","&B00000000"
"672","41167.125","+0","0","","&B10000000","&B00000000"
"673","41167.1284722222","+0","0","","&B10000000","&B00000000"
"674","41167.1319444444","+0","0","","&B10000000","&B00000000"
"675","41167.1354166667","+0","0","","&B10000000","&B00000000"
"676","41167.1388888889","+0","0","","&B10000000","&B00000000"
"677","41167.1423611111","+0","0","","&B10000000","&B00000000"
"678","41167.1458333333","+0","0","","&B10000000","&B00000000"
"679","41167.1493055556","+0","0","","&B10000000","&B00000000"
"680","41167.1527777778","+0","0","","&B10000000","&B00000000"
"681","41167.15625","+0","0","","&B10000000","&B00000000"
"682","41167.1597222222","+0","0","","&B10000000","&B00000000"
"683","41167.1631944444","+0","0","","&B10000000","&B00000000"
"684","41167.1666666667","+0","0","","&B10000000","&B00000000"
"685","41167.1701388889","+0","0","","&B10000000","&B00000000"
"686","41167.1736111111","+0","0","","&B10000000","&B00000000"
